,user_id,type,date,invited,sign_up,kyc_initiated,kyc_completed,card_activated
0,2e23e35fe0792367688afae1cc53888a,DT,2016-02-20,,2016-01-23,2016-01-23,2016-01-25,2016-01-29
1,3ba7ca60e456bc7b51ebad18b5c48d8e,CT,2016-02-02,,2016-01-25,2016-01-25,2016-01-25,2016-01-31
2,f07d0faffa7d7e53af39e234e8ed0fab,CT,2016-01-12,,2016-01-10,2016-01-10,2016-01-10,2016-01-17
3,76f311b289ab20e3c1d5a8e2f8fb4407,PT,2016-01-27,2016-01-11,2016-01-11,2016-01-11,2016-01-11,2016-01-15
4,f37e9faf22fa9dd12a43c32afeae5df8,DD,2016-06-23,,2016-01-15,2016-02-06,2016-03-04,2016-03-09
5,b0ecad3cd12ae1fdfd6121efe37e3e2e,CT,2016-02-09,2016-01-25,2016-01-25,2016-01-26,2016-01-26,2016-10-27
6,bdab23acdfa69f28e14afc146c5619d2,FT,2016-01-28,,2016-01-06,2016-01-06,2016-01-06,2016-01-12
7,0b18605ed201c96a6ba3e33927f5b4b7,DD,2016-08-16,2016-01-20,2016-01-22,2016-01-22,2016-01-22,2016-01-28
8,8cf788a69b24f1ea70735143e33b3f29,PT,2016-02-10,,2016-01-31,2016-02-01,2016-02-01,2016-02-05
9,d5f0bb7e37087fa1438bf7d229241818,DD,2016-02-17,,2016-01-30,2016-02-02,2016-02-02,2016-02-06
10,75aa46aaa39d727ae358da2d7b71e626,CT,2016-02-08,,2016-02-02,2016-02-02,2016-02-02,2016-02-06
11,db8ec9d570181080d04e4fa4d64b21f5,PT,2016-03-05,,2016-01-21,2016-01-23,2016-02-23,2016-02-26
12,acc339b5d6cd2e29399436dae16eaabb,CT,2016-05-11,2016-02-13,2016-02-14,2016-02-14,2016-02-14,2016-02-17
13,83c0d48a0b3c8a2f6210e223dfd9b96b,CT,2016-02-29,,2016-01-19,2016-01-19,2016-01-19,2016-02-17
14,5b9806a218a2fbdb5489944a482847a3,PT,2016-02-05,,2016-02-01,2016-02-01,2016-02-01,2016-02-05
15,b2c9c950c43a252f7c3547c2fb9fcebc,DT,2016-02-05,2016-01-21,2016-01-22,2016-01-25,2016-01-25,2016-01-30
16,0d6d016b2613376b217ccd43724f131e,PT,2016-01-16,,2016-01-11,2016-01-11,2016-01-11,2016-01-14
17,5893e1d38cb30496ffc190415a990c88,DT,2016-04-20,,2016-02-09,2016-02-09,2016-02-09,2016-02-12
18,7c49d61e4335c78896b9b493a3335540,CT,2016-02-15,2016-01-19,2016-01-19,2016-01-19,2016-01-19,2016-02-12
19,7a99ae0d8d64add7981311d7551332a0,DD,2016-03-21,,2016-01-22,2016-01-22,2016-01-22,2016-01-29
20,a5774230b5881af0301c576558f63f4c,PT,2016-02-11,,2016-01-22,2016-01-22,2016-01-22,2016-01-28
21,aada47bddafeffe6088e21da185c4b61,PT,2016-05-17,,2016-02-09,2016-02-09,2016-02-09,2016-08-12
22,ac72eb3614736279a17ab9dd9190d7c1,PT,2016-03-01,,2016-02-08,2016-02-08,2016-02-08,2016-02-25
23,1823af70786d6b811a1ea6c807177a2a,PT,2016-02-19,,2016-02-01,2016-02-01,2016-02-01,2016-02-11
24,0096b8ea909d531aa85bdacf47bda0df,PT,2016-03-01,,2016-01-25,2016-01-25,2016-01-25,2016-02-03
25,041b151e0023f87554ca749fb0246245,CT,2016-04-04,,2016-02-04,2016-02-04,2016-02-04,2016-02-09
26,82a323b25014bf5e9b458e8e50b94264,DT,2016-07-31,,2016-01-12,2016-01-12,2016-01-12,2016-01-19
27,7b911ce14a9d291551992ee87717c212,CT,2016-01-18,,2016-01-16,2016-01-16,2016-01-16,2016-01-21
28,9943974c0a6475fc8788e25ad187c4dc,PT,2016-02-02,,2016-01-26,2016-01-26,2016-01-26,2016-01-30
29,c725c2e9711abb8fafe3a04752973fa7,DT,2016-09-17,,2016-01-25,2016-02-29,2016-02-29,2016-03-04
30,f19b6bc868f9cbabb4b653397f526ad1,DD,2016-06-20,,2016-01-20,2016-01-20,2016-01-20,2016-01-27
31,49238ea0bf4b6d307674406eb4241435,DT,2016-02-10,,2016-01-16,2016-01-16,2016-01-16,2016-01-20
32,1322f71f708f96ff483bf1b8c106f40c,CT,2016-02-01,,2016-01-20,2016-01-20,2016-01-20,2016-02-13
33,e40980adf2123f723b410d118f017a2a,DD,2016-02-29,,2016-01-30,2016-01-30,2016-02-01,2016-02-06
34,0bebe347b9e7afdf5a67809a3ca62b19,PT,2016-03-29,,2016-01-27,2016-01-27,2016-01-27,2016-02-03
35,7d8ed2e3072d5e065bf6679e2dce70a6,PT,2016-01-12,,2016-01-06,2016-01-06,2016-01-06,2016-01-12
36,2aabb9eb9f1008cb2df5d55e5a564414,DT,2016-04-07,,2016-02-02,2016-02-02,2016-02-02,2016-02-07
37,129395607d69c5db970b123c51b32a49,DD,2016-03-01,,2016-01-28,2016-02-01,2016-02-01,2016-08-28
38,d7e52319ad4571ec126911e25bdddc5d,PT,2016-01-19,,2016-01-05,2016-01-07,2016-01-07,2016-01-16
39,7bf870bcf565442cf0d67b183a3884b2,FT,2016-02-16,,2016-02-12,2016-02-12,2016-02-12,2016-02-19
40,013b8b1c0dc52092950d5cff23c1f405,PT,2016-02-03,,2016-01-21,2016-01-22,2016-01-22,2016-02-02
41,05dd4875ff781846ff1df8737bb1141b,DT,2016-03-03,,2016-02-08,2016-02-08,2016-02-08,2016-02-11
42,6a17f9a85ce203b358acbdaf28d6adf9,PT,2016-02-22,,2016-02-03,2016-02-03,2016-02-03,2016-02-07
43,e34ba783eac113cf5d288b8987ecf435,DT,2016-04-15,,2016-01-17,2016-01-17,2016-01-17,2016-01-21
44,9a8dcb147d29b7f98bbdff52c6163a2f,DD,2016-10-31,2015-12-22,2016-01-13,2016-01-13,2016-01-13,2016-01-19
45,16802e4bff432530a5dc25103b2a42b2,FT,2016-03-01,,2016-02-13,2016-02-13,2016-02-13,2016-02-18
46,a292e0d5be80eb02ae83dce5a6c8e610,PT,2016-01-14,,2016-01-07,2016-01-07,2016-01-07,2016-01-13
47,58ea1ea6daef61089b617959a6ead195,DD,2016-05-31,,2016-01-27,2016-01-29,2016-01-29,2016-02-05
48,3cf9eed71afdfddc007422131e170395,DD,2016-04-01,,2016-02-10,2016-02-29,2016-02-29,2016-04-09
49,4f2e7c3bccf8eb6222e4c4c549470024,FT,2016-09-16,,2016-01-19,2016-01-26,2016-01-26,2016-02-02
50,e87e3f4c633ccd1cf9c74ee07398a642,DD,2016-02-11,2016-02-01,2016-02-02,2016-02-02,2016-02-02,2016-02-11
51,55b6fee1af4b5caea658380ce96fb31c,DT,2016-02-15,,2016-01-05,2016-01-05,2016-01-05,2016-01-22
52,9df531dda16c163ca9865c39176d06c5,DD,2016-01-08,,2016-01-04,2016-01-04,2016-01-04,2016-01-14
53,9c5f88654368f9f4661b01fe7a4313a9,CT,2016-02-09,,2016-01-28,2016-01-28,2016-02-01,2016-02-08
54,b37315b23c01b4048818d1ab8a77b202,CT,2016-02-08,,2016-02-05,2016-02-05,2016-02-05,2016-02-10
55,3fbcd89adb194e0c881700515353db03,DT,2016-05-26,,2016-01-07,2016-01-08,2016-01-08,2016-01-15
56,c811997c008c7bfc04304a03e9dc75c9,DT,2016-02-05,,2016-02-02,2016-02-02,2016-02-02,2016-02-06
57,8e1a394e77ca89d532c2745fca04e3bd,DT,2016-07-20,,2016-01-19,2016-01-19,2016-01-19,2016-02-01
58,9306ee4843b1a4974f63a000263852f4,PT,2016-01-30,,2016-01-13,2016-01-13,2016-01-13,2016-01-19
59,ad84b1f0838d419e326442f0ef62db9c,PT,2016-01-18,,2016-01-11,2016-01-11,2016-01-11,2016-01-15
60,ead4a01c732f945d7ae2709429e8c6b6,DD,2016-08-01,,2016-02-03,2016-02-03,2016-02-03,2016-02-12
61,958b26531c27bc4c928981ec63268d02,DT,2016-02-01,,2016-01-15,2016-01-15,2016-01-15,2016-01-21
62,f4b8650056440d1e2edfcf2cc0e5dc5b,CT,2016-02-01,2016-01-29,2016-01-31,2016-01-31,2016-01-31,
63,0910c0ab7926e5c9bbd1d36ad2ce5f82,PT,2016-02-06,2016-02-03,2016-02-03,2016-02-03,2016-02-03,2016-02-06
64,cf3bd898c38f65fb9a6a2c3c79159142,PT,2016-02-29,,2016-02-01,2016-02-01,2016-02-01,2016-02-13
65,27e32872bc19e5c22474419815833079,PT,2016-03-14,,2016-01-24,2016-01-24,2016-01-24,2016-01-29
66,b0366ff2e5b19c9468a2a195b9eb8f06,DT,2016-02-09,2016-02-05,2016-02-05,2016-02-05,2016-02-05,2016-02-10
67,059bbc7a6023af82ba4f7d5875bb33a1,CT,2016-01-13,,2016-01-05,2016-01-06,2016-01-06,2016-02-09
68,1c4a798df33c30b902a21ad906754716,CT,2016-02-09,,2016-01-12,2016-01-12,2016-01-20,2016-01-30
69,91aebb34d1e18c2b300a94033c49dffe,CT,2016-02-23,,2016-02-08,2016-02-08,2016-02-15,2016-02-19
70,71637cda889e2f56afe19e47efa2347c,PT,2016-01-20,,2016-01-11,2016-01-14,2016-01-14,2016-01-19
71,9cf68053061fd9f71a7c0622853592ed,DT,2016-01-21,,2016-01-17,2016-01-19,2016-01-19,2016-01-26
72,76780608080b8caead480fa3883377b5,DD,2016-07-01,,2016-01-13,2016-01-13,2016-01-13,2016-01-19
73,579a65899f00f519118e0cc38efc798c,CT,2016-02-22,,2016-01-27,2016-01-29,2016-01-29,2016-09-12
74,bba14b431ab5e3106ff5bf6e5757015f,FT,2016-02-16,,2016-01-05,2016-01-05,2016-01-05,2016-01-12
75,bb3c208bcf6114fa767a2adbb2514042,PT,2016-02-09,,2016-01-19,2016-01-20,2016-01-20,2016-01-26
76,e8554cc91585603ac8624639071294d7,DT,2016-08-16,,2016-01-01,2016-01-04,2016-01-04,2016-01-13
77,9e3f4639fa24b6550f9184655f09f20b,PT,2016-02-19,,2016-01-22,2016-01-22,2016-01-22,2016-01-28
78,d9d96146dbd02f99b2619bb4b2c6d3fc,CT,2016-03-14,2016-02-10,2016-02-13,2016-02-13,2016-02-19,2016-03-22
79,21233a34c59a1e9a64f7da4924610b52,PT,2016-02-01,,2016-01-17,2016-01-17,2016-01-17,2016-03-13
80,5a4bd4551b93d97676ce0c8791f3172e,FT,2016-02-15,,2016-01-08,2016-01-09,2016-01-09,2016-01-15
81,ae617176744bcdef2b110eed44224eae,DD,2016-11-18,,2016-01-20,2016-02-25,2016-02-25,2016-03-01
82,9dc981d6751bdb5c7656c06334e79f58,DT,2016-03-14,,2016-01-30,2016-01-30,2016-01-30,2016-02-07
83,fcc3ee0c765afba541f1f79715d827f0,PT,2016-01-30,,2016-01-06,2016-01-06,2016-01-06,2016-01-18
84,13ac432877114332543022b94ab125ac,DT,2016-03-01,,2016-01-27,2016-01-27,2016-02-02,2016-09-19
85,722aa258c0de3236d72514324a037499,CT,2016-01-26,,2016-01-20,2016-01-20,2016-01-20,2016-01-26
86,f4877079d2366d1b5a13d2f46762415f,CT,2016-01-26,2016-01-12,2016-01-12,2016-01-12,2016-01-12,2016-02-08
87,5b8f919197e992e2b5b0440cdae76e81,CT,2016-02-04,,2016-01-09,2016-01-15,2016-01-15,2016-07-31
88,52f7ce3c0919e57f26b5c62ada817ed3,DD,2016-06-13,2015-12-30,2016-01-03,2016-03-30,2016-03-30,2016-04-04
89,989e96b9336747c684eb773baac8368b,DT,2016-11-16,,2016-01-14,2016-01-14,2016-01-14,2016-01-21
90,6d5b1608e25e130708fce14d150d0d38,CT,2016-02-26,2016-02-12,2016-02-12,2016-02-16,2016-02-16,2016-02-24
91,ae6f90884e18ff9332f763bdcd81cad4,DT,2016-05-27,,2016-01-12,2016-01-13,2016-01-13,2016-03-04
92,c966bca4180e35b97cd442aa213f1583,DT,2016-08-03,,2016-01-06,2016-01-06,2016-01-06,2016-01-13
93,59f18120d8be9b516b76917e638ab0d8,CT,2016-01-14,2015-12-24,2016-01-02,2016-03-12,2016-03-12,2016-01-10
94,166ac67938b6099091da5179035625d8,CT,2016-01-29,,2016-01-27,2016-01-28,2016-01-28,2016-02-03
95,3cec0bc6b0943dcb7f71333735b21990,PT,2016-02-22,,2016-01-19,2016-01-31,2016-01-31,
96,be212131d0480a764253187bd038a348,PT,2016-02-25,,2016-02-08,2016-02-08,2016-02-08,2016-05-17
97,1aaf08ff3ee1ef6c650915c949e6559e,DT,2016-02-03,,2016-01-13,2016-01-18,2016-01-18,2016-01-22
98,c060a2123bc0039a1919e1234f4b38fa,DT,2016-01-21,,2016-01-04,2016-01-04,2016-01-04,2016-01-16
99,71f3af0ce96208dd06a5eb752bf657d4,FT,2016-02-15,2015-12-08,2016-01-07,2016-01-07,2016-01-11,2016-04-16
100,1e18d2874d999f3fa37c104eb33aaa8f,CT,2016-02-09,,2016-02-06,2016-02-06,2016-02-06,2016-06-22
101,ef2cbbe3088ad7af81fac8cc6cedd3a8,PT,2016-03-11,,2016-02-10,2016-02-10,2016-02-10,2016-02-24
102,b72fba74b940ee214d57e18a5d28d997,DT,2016-11-15,,2016-02-03,2016-02-03,2016-02-03,2016-02-08
103,01c6c9a637fd70ad2b0873161455c905,DD,2016-02-23,,2016-01-12,2016-01-12,2016-01-12,2016-01-15
104,199eb656e250ed11645a39b43a11b1cc,PT,2016-02-29,,2016-01-31,2016-02-01,2016-02-01,2016-02-05
105,5ba446a48316cc3bfb70a6afc2559a2d,CT,2016-01-13,,2016-01-11,2016-01-11,2016-01-11,2016-01-14
106,51fea53d9cd0e681bd045f432fee3149,CT,2016-03-10,,2016-02-09,2016-02-09,2016-02-09,2016-03-04
107,04abee72070336773c487e9180d70575,FT,2016-06-07,,2016-02-08,2016-02-08,2016-02-08,2016-02-18
108,3a56c939e86f040f044f700973664626,CT,2016-03-02,2016-01-14,2016-01-28,2016-02-16,2016-02-16,2016-04-01
109,42505f8e22dc2174bd7f4d97e66932b2,CT,2016-01-11,,2016-01-06,2016-01-06,2016-01-06,2016-01-19
110,69a3b1b39a210373b5a0e58e7b622a86,CT,2016-01-27,,2016-01-25,2016-01-25,2016-01-25,2016-02-01
111,3e7baf1cf07ee3d2617d578c691fc23f,CT,2016-02-17,2016-01-31,2016-02-11,2016-02-11,2016-02-11,2016-02-16
112,df063eb53e46c99117a2b28ebca01ca3,DD,2016-09-20,,2016-02-01,2016-02-01,2016-02-01,2016-02-05
113,d972ae6cb98fdb180e9fa3fb2a1573ff,CT,2016-04-01,,2016-02-05,2016-03-03,2016-03-03,2016-03-09
114,a2eff8c7f1b36ae2df38dd6f2cd04e94,CT,2016-02-03,,2016-01-28,2016-01-28,2016-01-28,2016-02-02
115,027f09a56e54fa72c85764d0f707ddb2,PT,2016-01-16,,2016-01-12,2016-01-12,2016-01-12,2016-01-15
116,55e615e77b902916a1b425b436825b96,CT,2016-01-26,2016-01-09,2016-01-25,2016-01-25,2016-01-25,2016-01-29
117,705a8131b0fef9c0b4c88e8064f83b35,PT,2016-09-22,,2016-02-10,2016-02-10,2016-02-12,2016-04-05
118,57aaa47e058776aa966b0eb0d5fd1dfd,DD,2016-07-01,,2016-02-11,2016-02-15,2016-03-05,2016-04-07
119,b0316ff171102c0b147c6e64435d408c,CT,2016-01-02,2016-01-01,2016-01-02,2016-01-02,2016-01-02,2016-01-10
120,da21f22aa77a2a865516c9ca226f86c5,CT,2016-05-04,,2016-01-18,2016-02-09,2016-02-09,2016-02-17
121,2a76ef4661c305fd6d320447c87000f3,PT,2016-02-12,,2016-02-08,2016-02-08,2016-02-08,2016-02-12
122,51a826a6118fda1970f5c6af5236dae7,FT,2016-02-02,2016-01-09,2016-01-09,2016-01-09,2016-01-09,2016-01-14
123,550d9087eb360f8db967fdc9da75b37c,CT,2016-02-02,,2016-01-23,2016-01-24,2016-01-24,2016-02-01
124,07ebf019363fefceffa85b3c06c8f4b1,DT,2016-04-07,,2016-01-21,2016-01-21,2016-01-21,2016-01-29
125,aa6e3bba0f2c9a7a792b9dc2227569c3,PT,2016-02-23,2016-01-31,2016-01-31,2016-01-31,2016-01-31,2016-02-11
126,31987a37dc4fc86e866627b5f0a1187a,DD,2016-01-15,,2016-01-05,2016-01-05,2016-01-05,2016-01-29
127,928e24da3dd6cb24bc6313bc4f6915df,PT,2016-03-12,,2016-02-08,2016-02-08,2016-02-08,2016-03-11
128,9da199a0cbb51bee39a7c6f58e187ce6,CT,2016-07-27,,2016-01-21,2016-03-01,2016-03-01,2016-03-04
129,52971d6b4ba43c34ba5eda47b7de5b42,PT,2016-05-24,,2016-01-19,2016-01-19,2016-01-19,2016-05-18
130,7ab3a41f34231007206d9d454342bea9,DD,2016-03-03,,2016-01-13,2016-01-13,2016-01-13,2016-01-19
131,3fc75fb01e630115c0f268c94251436b,PT,2016-02-24,,2016-02-02,2016-02-06,2016-02-06,2016-02-10
132,21c482c93571c59fbf707bd65b43f79c,PT,2016-08-24,,2016-01-14,2016-07-13,2016-07-13,2016-07-29
133,10d2978cd337f12bedbb3c018133d234,PT,2016-02-10,2016-01-23,2016-01-24,2016-01-24,2016-01-24,2016-02-03
134,8a359d82b767d550ed2049d0b1cd4cf1,CT,2016-02-09,2016-01-25,2016-01-25,2016-02-01,2016-02-01,2016-02-25
135,a11f677107137af92781ad4ace045a5c,DT,2016-02-25,,2016-02-09,2016-02-09,2016-02-09,2016-02-12
136,141040852c49a773d651f60c02752655,DD,2016-01-29,,2016-01-02,2016-01-02,2016-01-02,2016-01-09
137,28326e5b19cff620c612d558631f3afd,PT,2016-11-01,2016-01-30,2016-01-30,2016-02-19,2016-02-19,2016-10-16
138,b144bcc3077e6b9036d54337664fbf7e,DT,2016-02-06,,2016-01-02,2016-01-02,2016-01-05,2016-02-05
139,d84cf1393d7366c7bce3fc0b7e7f25a9,PT,2016-01-31,2015-10-09,2016-01-24,2016-01-24,2016-01-24,2016-01-29
140,71e41ed89615346f3030e97d88557906,DT,2016-03-01,,2016-01-31,2016-02-08,2016-02-08,2016-02-11
141,8135290842e4e14a4b95485e962cf8a2,CT,2016-01-29,2016-01-14,2016-01-15,2016-01-24,2016-01-24,2016-01-28
142,4b004d9f7d1cc344d7dff4f63894e31b,CT,2016-01-25,,2016-01-16,2016-01-17,2016-01-17,2016-01-22
143,a1988ab635354801b79ce1c683e7088b,PT,2016-02-16,,2016-01-19,2016-01-27,2016-01-27,2016-09-24
144,74ab301dbdd4633461c32fd2c22266b8,DD,2016-07-01,2016-01-28,2016-01-28,2016-01-28,2016-01-28,2016-03-26
145,7ec1e92baedd357423fc3a46c21d1628,DT,2016-02-24,,2016-02-12,2016-02-13,2016-02-15,2016-02-18
146,020705a6048f87b5e085a25a6ac97d24,CT,2016-02-15,,2016-01-27,2016-01-27,2016-01-27,2016-02-04
147,f79303c82059972a903a9f5fdab1763f,DT,2016-03-17,,2016-01-26,2016-03-08,2016-03-09,2016-03-21
148,8d6e05d5f4fca18ff0573adef2e43197,DT,2016-10-21,,2016-01-08,2016-01-08,2016-01-08,2016-01-13
149,137c205cacf848a1e352c6f330ef60c9,CT,2016-02-09,,2016-02-05,2016-02-05,2016-02-05,2016-02-10
150,32714f2ae690f4424c009b4661fdc9a3,CT,2016-06-23,,2016-01-11,2016-02-10,2016-02-10,2016-02-27
151,9fe73a65d1a475ab0e30675bc9fad9f1,DD,2016-03-08,2016-01-06,2016-01-08,2016-01-09,2016-01-09,2016-01-20
152,b30beeccdf674b2ec26265508ebdb453,PT,2016-02-06,,2016-01-09,2016-01-26,2016-01-26,2016-02-02
153,986d4719b603c3ceaa4428b335974160,DD,2016-03-04,,2016-01-01,2016-01-04,2016-01-04,2016-01-12
154,0dfc1763bfb92e47dc903f60fcbaf7a1,FT,2016-03-15,2016-02-01,2016-02-13,2016-02-13,2016-02-13,2016-02-17
155,6b87d6c265961d75f8f916bde99d0c33,CT,2016-02-03,,2016-01-22,2016-01-27,2016-01-27,2016-02-02
156,b6ff65945f5499c69f11aee7f6cb6ff9,DD,2016-10-18,2016-02-05,2016-02-07,2016-02-09,2016-02-09,2016-03-05
