user_id,invited,sign_up,kyc_initiated,kyc_completed,card_activated
ad556af8adaa799e8d7b63bbf7fc654e,,2016-01-11,2016-01-11,2016-01-11,2016-01-14
3ca749229385323affc0d78348f5d1a0,,2016-01-27,2016-01-28,2016-01-28,2016-07-28
73ea685cc99dd1ae1c006d84d99c262a,,2016-01-06,2016-01-06,,
d17d212296ec30df1313fde54a6dec8f,,2016-02-05,,,
054f9f2e5a9065e9693e82899a16b696,,2016-01-30,2016-02-25,,
79114c005e94bf85dde4c270dbbb90a0,,2016-02-01,2016-02-01,2016-02-01,2016-02-10
6150dc6737edb3c30edf989ab85e211b,,2016-02-14,2016-02-19,2016-02-19,2016-02-25
01b862374febcb19584387bb852b1a65,,2016-01-18,2016-01-18,2016-01-18,2016-02-13
8f197dce2a0e821a68a7e8acb987cbd7,,2016-02-13,2016-03-09,2016-03-09,2016-03-13
ba77b58d44893a68ef16b061f81358eb,,2016-02-14,2016-02-14,2016-02-14,2016-02-18
d1b56aa79ebcd9d4575223bfdb5b26e2,,2016-02-07,2016-02-07,,
3f8bba04fbafcb8161dfb81d10f5d6bf,,2016-01-14,2016-01-14,2016-01-14,2016-01-30
a512a276adcfa10939339cfa8c9e6bd2,,2016-02-11,2016-02-11,,
bef2a33fa5818705b5de3d17eb56486e,,2016-01-28,,,
11c9a5eb2f121d66468432a042511830,,2016-02-12,2016-02-12,2016-02-12,2016-08-02
62b5b3eda26df220bc99ef8afae8ebb3,2016-01-22,2016-02-02,2016-02-03,2016-02-03,2016-02-06
4f2d2d3e1fd66ffe5ee395cecacc8df4,2016-01-13,2016-01-13,2016-01-13,2016-01-13,2016-01-20
1f301d84f8b83ee1257f9eb7f9d6ad46,,2016-01-16,2016-01-26,2016-01-26,2016-02-15
0aa786b1fee8e171911a6b754f9edb44,,2016-01-28,2016-01-28,2016-02-03,2016-02-10
f484cf94c3a38d3fb62b74827732eccc,,2016-02-05,2016-02-05,,
e7b85f713a0b80771639430789021679,,2016-02-03,,,
1284b7ec9e6fc5e4ac2617fbebde3238,,2016-01-04,2016-01-04,2016-01-04,2016-02-11
66850a242731956d9f537ba1d615467f,,2016-01-26,,,
ad176f1d6fbcb9d7279d16b5a93c2623,,2016-01-27,2016-01-27,2016-03-08,2016-03-19
d9d8456a5b2a3e5a8e6e6e00948d7f06,,2016-02-08,2016-02-08,2016-02-08,2016-02-11
76348b0b8e28f62a31ac2e51ad8c6a6d,,2016-02-11,2016-02-22,2016-02-22,2016-02-25
2ee995f24923d18f1d335cb8744f6e9c,,2016-01-07,2016-01-07,2016-01-07,2016-01-14
6b45fcc1def7a3ee941003fe01a2825b,,2016-01-20,2016-01-20,,
13e05fbe0aa109a083788790ace78750,,2016-01-31,2016-01-31,2016-01-31,2016-02-05
459c78790ebc2478f8501a06f3e24a07,,2016-01-14,2016-01-18,2016-01-18,2016-01-24
254171eeb7b208c5d61844ee68737b76,2016-02-02,2016-02-02,2016-02-02,2016-02-02,2016-02-09
78386a38dec8f4a9b1bda10c81ce43fa,,2016-01-20,,,
7b2bd1aad0ecdb2e80be82b1c091a749,,2016-02-13,2016-02-13,,
c09cf58bb61ae9a51a3971b5ac3477e1,2016-02-01,2016-02-01,2016-03-08,2016-03-14,2016-05-02
2e60c8d85917fe0ef44cb81b4dd2f474,,2016-02-06,2016-02-06,2016-02-06,2016-02-11
3cead6d03d0dc8d2d9b8ec8f31d3063e,,2016-01-22,2016-01-22,2016-02-02,2016-02-06
d5fe13736337f262ad7a24002b0a08c9,,2016-02-09,2016-02-09,2016-02-09,2016-02-17
85980bcd351798c5db7cb95f8988c5bd,,2016-01-10,2016-01-10,,
6c9f394210ae2ae167c706bc64f1d6cb,,2016-01-18,2016-05-27,2016-05-27,2016-06-01
eec28abe6e0524ac0280527d55f3a473,2016-01-11,2016-01-11,2016-01-11,,
5e600edaa924d6b761de91aa3951ff19,,2016-01-06,,,
5a047755876cff097d8d24aac35fc7fd,2016-02-12,2016-02-12,2016-02-12,2016-02-12,2016-02-20
ce79bbebbb7116e2cb7fdb465de486e8,,2016-01-15,2016-01-15,,
40f06983f44e2917cd2d2f200adbbd71,,2016-01-27,2016-01-27,2016-01-27,2016-02-04
ca067245cf0ecc7bdab7e999ba8a03e3,,2016-02-10,2016-02-11,2016-02-11,2016-02-17
bf733a64caee82f615a5929598d0b387,,2016-02-12,2016-03-22,2016-03-23,2016-03-31
f55130701017880deed292ae6b58b17d,,2016-01-22,2016-01-23,2016-01-23,2016-01-29
af54c033b971be5f43aa6d9b21769af3,,2016-01-01,2016-01-01,2016-01-01,2016-01-11
677998f80a684396f3d54d4c24c4ca86,,2016-01-15,2016-01-15,2016-01-15,2016-01-24
74fa4aa95f2e5b476e4f9eb7d5607b6b,,2016-01-29,2016-01-29,2016-01-29,2016-02-06
7f3447aaabedf32966e9b2f66660d77e,2016-01-28,2016-01-28,2016-01-28,,
b91134035d77b177843e4d5af1df12f3,,2016-01-31,2016-02-01,2016-02-01,2016-02-12
81c1561881628f503cccec78cf092cb0,,2016-01-05,2016-01-05,2016-01-11,2016-01-28
9325d7c3a1a2dabe56e23ed069b6ceca,,2016-01-18,2016-01-18,2016-01-18,2016-02-20
db0b338f2adc74b0843d7f3c36f3d11d,,2016-02-05,,,
4dc3e2852379cbb9e4c30dfd27cf624e,,2016-01-04,,,
789ff0a8727dbf21aca536650ae3e3f9,,2016-02-12,2016-02-12,2016-02-12,2016-03-23
a9c8e18f43a12b6daa3518db86e7de01,2016-01-06,2016-01-06,2016-01-06,2016-01-06,2016-01-15
6144cfcf4e89f5dfe4b0188d011b739f,,2016-01-13,2016-01-16,2016-01-15,2016-01-22
b49cfabf9ccf0e0cee54aa06964b06d5,,2016-01-25,2016-02-25,2016-02-26,2016-03-02
1e83566b56320e2d9a3b585af7562fbf,2016-01-25,2016-01-25,2016-01-25,2016-01-25,2016-02-13
c36dde03b9f8e526b3377668b6d79cdd,,2016-02-03,2016-02-22,2016-02-22,2016-02-26
8c106400d57253e57716d0340c2d620f,2016-01-30,2016-02-03,2016-02-10,2016-02-10,2016-02-14
c1b3391e5ab3ff23c05abb714abffdd1,,2016-01-01,,,
6d056f7cee89a517d6783a2e04c23321,,2016-01-14,,,
2b98000e6093995aa26dae69a10886bc,,2016-01-30,2016-01-31,2016-01-31,
2e9bf771d18b7f2f8170e56449e39db4,2016-01-27,2016-01-27,2016-01-27,2016-01-27,2016-02-08
6c07d779f12683e4b5f304b60150a8b9,,2016-01-29,2016-01-29,2016-01-30,2016-02-05
0e4bd15916a700cb37cb5b1d68c64eb8,,2016-02-07,,,
7ea695eaadb2edb375ea3222c188885a,,2016-01-25,2016-01-25,2016-01-25,2016-01-30
93d5baccdba134f1915434f83084d74c,,2016-01-22,2016-01-27,2016-01-27,
